gene_id	symbol	name	cytoband	type	num_cohort_ssm_affected_cases	num_cohort_ssm_cases	cohort_ssm_affected_cases_percentage	num_gdc_ssm_affected_cases	num_gdc_ssm_cases	gdc_ssm_affected_cases_percentage	num_cohort_cnv_cases	num_cohort_cnv_gain_cases	cohort_cnv_gain_cases_percentage	num_cohort_cnv_loss_cases	cohort_cnv_loss_cases_percentage	num_mutations	annotations
ENSG00000106483	SFRP4	secreted frizzled related protein 4	7p14.1	protein_coding	3	374	0.80	152	16477	0.92	517	134	25.92	3	0.58	3	Cancer Gene Census
ENSG00000108375	RNF43	ring finger protein 43	17q22	protein_coding	3	374	0.80	402	16477	2.44	517	30	5.80	24	4.64	3	Cancer Gene Census
ENSG00000108821	COL1A1	collagen type I alpha 1 chain	17q21.33	protein_coding	3	374	0.80	384	16477	2.33	517	37	7.16	26	5.03	3	Cancer Gene Census
ENSG00000110844	PRPF40B	pre-mRNA processing factor 40 homolog B	12q13.12	protein_coding	3	374	0.80	200	16477	1.21	517	89	17.21	4	0.77	3	Cancer Gene Census
ENSG00000113916	BCL6	BCL6 transcription repressor	3q27.3	protein_coding	3	374	0.80	219	16477	1.33	517	57	11.03	53	10.25	3	Cancer Gene Census
ENSG00000115524	SF3B1	splicing factor 3b subunit 1	2q33.1	protein_coding	3	374	0.80	366	16477	2.22	517	62	11.99	27	5.22	3	Cancer Gene Census
ENSG00000115808	STRN	striatin	2p22.2	protein_coding	3	374	0.80	159	16477	0.96	517	53	10.25	16	3.09	3	Cancer Gene Census
ENSG00000116016	EPAS1	endothelial PAS domain protein 1	2p21	protein_coding	3	374	0.80	212	16477	1.29	517	55	10.64	17	3.29	3	Cancer Gene Census
ENSG00000116128	BCL9	BCL9 transcription coactivator	1q21.2	protein_coding	3	374	0.80	340	16477	2.06	517	57	11.03	27	5.22	3	Cancer Gene Census
ENSG00000118513	MYB	MYB proto-oncogene, transcription factor	6q23.3	protein_coding	3	374	0.80	208	16477	1.26	517	6	1.16	138	26.69	3	Cancer Gene Census
ENSG00000122025	FLT3	fms related receptor tyrosine kinase 3	13q12.2	protein_coding	3	374	0.80	440	16477	2.67	517	16	3.09	55	10.64	3	Cancer Gene Census
ENSG00000122512	PMS2	PMS1 homolog 2, mismatch repair system component	7p22.1	protein_coding	3	374	0.80	222	16477	1.35	517	131	25.34	5	0.97	3	Cancer Gene Census
ENSG00000122778	KIAA1549	KIAA1549	7q34	protein_coding	3	374	0.80	469	16477	2.85	517	139	26.89	7	1.35	3	Cancer Gene Census
ENSG00000122779	TRIM24	tripartite motif containing 24	7q33, 7q34	protein_coding	3	374	0.80	236	16477	1.43	517	137	26.50	7	1.35	3	Cancer Gene Census
ENSG00000123473	STIL	STIL centriolar assembly protein	1p33	protein_coding	3	374	0.80	247	16477	1.50	517	6	1.16	62	11.99	3	Cancer Gene Census
ENSG00000124181	PLCG1	phospholipase C gamma 1	20q12	protein_coding	3	374	0.80	254	16477	1.54	517	74	14.31	1	0.19	3	Cancer Gene Census
ENSG00000125618	PAX8	paired box 8	2q14.1	protein_coding	3	374	0.80	139	16477	0.84	517	55	10.64	13	2.51	3	Cancer Gene Census
ENSG00000126883	NUP214	nucleoporin 214	9q34.13	protein_coding	3	374	0.80	360	16477	2.18	517	10	1.93	136	26.31	3	Cancer Gene Census
ENSG00000128513	POT1	protection of telomeres 1	7q31.33	protein_coding	3	374	0.80	208	16477	1.26	517	137	26.50	7	1.35	3	Cancer Gene Census
ENSG00000130382	MLLT1	MLLT1 super elongation complex subunit	19p13.3	protein_coding	3	374	0.80	126	16477	0.76	517	24	4.64	45	8.70	3	Cancer Gene Census
ENSG00000130779	CLIP1	CAP-Gly domain containing linker protein 1	12q24.31	protein_coding	3	374	0.80	266	16477	1.61	517	81	15.67	8	1.55	3	Cancer Gene Census
ENSG00000135903	PAX3	paired box 3	2q36.1	protein_coding	3	374	0.80	232	16477	1.41	517	51	9.86	47	9.09	3	Cancer Gene Census
ENSG00000136492	BRIP1	BRCA1 interacting protein C-terminal helicase 1	17q23.2	protein_coding	3	374	0.80	274	16477	1.66	517	35	6.77	23	4.45	3	Cancer Gene Census
ENSG00000138081	FBXO11	F-box protein 11	2p16.3	protein_coding	3	374	0.80	172	16477	1.04	517	55	10.64	17	3.29	3	Cancer Gene Census
ENSG00000138592	USP8	ubiquitin specific peptidase 8	15q21.2	protein_coding	3	374	0.80	199	16477	1.21	517	13	2.51	27	5.22	3	Cancer Gene Census
ENSG00000139163	ETNK1	ethanolamine kinase 1	12p12.1	protein_coding	3	374	0.80	109	16477	0.66	517	95	18.38	4	0.77	3	Cancer Gene Census
ENSG00000140396	NCOA2	nuclear receptor coactivator 2	8q13.3	protein_coding	3	374	0.80	305	16477	1.85	517	44	8.51	52	10.06	3	Cancer Gene Census
ENSG00000140538	NTRK3	neurotrophic receptor tyrosine kinase 3	15q25.3	protein_coding	3	374	0.80	504	16477	3.06	517	18	3.48	24	4.64	3	Cancer Gene Census
ENSG00000146648	EGFR	epidermal growth factor receptor	7p11.2	protein_coding	3	374	0.80	655	16477	3.98	517	142	27.47	3	0.58	3	Cancer Gene Census
ENSG00000147050	KDM6A	lysine demethylase 6A	Xp11.3	protein_coding	3	374	0.80	472	16477	2.86	517	0	0.00	0	0.00	3	Cancer Gene Census
ENSG00000147140	NONO	non-POU domain containing octamer binding	Xq13.1	protein_coding	3	374	0.80	148	16477	0.90	517	0	0.00	0	0.00	3	Cancer Gene Census
ENSG00000147724	FAM135B	family with sequence similarity 135 member B	8q24.23	protein_coding	3	374	0.80	949	16477	5.76	517	58	11.22	36	6.96	4	Cancer Gene Census
ENSG00000148584	A1CF	APOBEC1 complementation factor	10q11.23	protein_coding	3	374	0.80	261	16477	1.58	517	10	1.93	67	12.96	3	Cancer Gene Census
ENSG00000154767	XPC	XPC complex subunit, DNA damage recognition and repair factor	3p25.1	protein_coding	3	374	0.80	144	16477	0.87	517	2	0.39	442	85.49	3	Cancer Gene Census
ENSG00000156650	KAT6B	lysine acetyltransferase 6B	10q22.2	protein_coding	3	374	0.80	348	16477	2.11	517	9	1.74	70	13.54	3	Cancer Gene Census
ENSG00000160867	FGFR4	fibroblast growth factor receptor 4	5q35.2	protein_coding	3	374	0.80	236	16477	1.43	517	290	56.09	4	0.77	3	Cancer Gene Census
ENSG00000162434	JAK1	Janus kinase 1	1p31.3	protein_coding	3	374	0.80	372	16477	2.26	517	8	1.55	56	10.83	3	Cancer Gene Census
ENSG00000163518	FCRL4	Fc receptor like 4	1q23.1	protein_coding	3	374	0.80	225	16477	1.37	517	55	10.64	24	4.64	3	Cancer Gene Census
ENSG00000164398	ACSL6	acyl-CoA synthetase long chain family member 6	5q31.1	protein_coding	3	374	0.80	215	16477	1.30	517	279	53.97	7	1.35	3	Cancer Gene Census
ENSG00000165025	SYK	spleen associated tyrosine kinase	9q22.2	protein_coding	3	374	0.80	178	16477	1.08	517	7	1.35	108	20.89	3	Cancer Gene Census
ENSG00000165238	WNK2	WNK lysine deficient protein kinase 2	9q22.31	protein_coding	3	374	0.80	463	16477	2.81	517	8	1.55	108	20.89	3	Cancer Gene Census
ENSG00000166501	PRKCB	protein kinase C beta	16p12.2, 16p12.1	protein_coding	3	374	0.80	347	16477	2.11	517	78	15.09	6	1.16	3	Cancer Gene Census
ENSG00000166888	STAT6	signal transducer and activator of transcription 6	12q13.3	protein_coding	3	374	0.80	166	16477	1.01	517	89	17.21	3	0.58	3	Cancer Gene Census
ENSG00000168172	HOOK3	hook microtubule tethering protein 3	8p11.21	protein_coding	3	374	0.80	158	16477	0.96	517	23	4.45	102	19.73	3	Cancer Gene Census
ENSG00000168542	COL3A1	collagen type III alpha 1 chain	2q32.2	protein_coding	3	374	0.80	586	16477	3.56	517	63	12.19	22	4.26	3	Cancer Gene Census
ENSG00000168646	AXIN2	axin 2	17q24.1	protein_coding	3	374	0.80	249	16477	1.51	517	35	6.77	23	4.45	3	Cancer Gene Census
ENSG00000171723	GPHN	gephyrin	14q23.3	protein_coding	3	374	0.80	213	16477	1.29	517	5	0.97	195	37.72	3	Cancer Gene Census
ENSG00000172915	NBEA	neurobeachin	13q13.3	protein_coding	3	374	0.80	701	16477	4.25	517	16	3.09	57	11.03	3	Cancer Gene Census
ENSG00000173575	CHD2	chromodomain helicase DNA binding protein 2	15q26.1	protein_coding	3	374	0.80	355	16477	2.15	517	16	3.09	26	5.03	3	Cancer Gene Census
ENSG00000175387	SMAD2	SMAD family member 2	18q21.1	protein_coding	3	374	0.80	176	16477	1.07	517	20	3.87	77	14.89	3	Cancer Gene Census
ENSG00000177565	TBL1XR1	TBL1X receptor 1	3q26.32	protein_coding	3	374	0.80	194	16477	1.18	517	59	11.41	52	10.06	3	Cancer Gene Census
ENSG00000177606	JUN	Jun proto-oncogene, AP-1 transcription factor subunit	1p32.1	protein_coding	3	374	0.80	86	16477	0.52	517	7	1.35	57	11.03	3	Cancer Gene Census
ENSG00000178104	PDE4DIP	phosphodiesterase 4D interacting protein	1q21.2	protein_coding	3	374	0.80	434	16477	2.63	517	56	10.83	25	4.84	3	Cancer Gene Census
ENSG00000178573	MAF	MAF bZIP transcription factor	16q23.2	protein_coding	3	374	0.80	113	16477	0.69	517	72	13.93	17	3.29	3	Cancer Gene Census
ENSG00000179399	GPC5	glypican 5	13q31.3	protein_coding	3	374	0.80	337	16477	2.05	517	21	4.06	44	8.51	3	Cancer Gene Census
ENSG00000179583	CIITA	class II major histocompatibility complex transactivator	16p13.13	protein_coding	3	374	0.80	320	16477	1.94	517	78	15.09	6	1.16	3	Cancer Gene Census
ENSG00000182197	EXT1	exostosin glycosyltransferase 1	8q24.11	protein_coding	3	374	0.80	215	16477	1.30	517	57	11.03	38	7.35	3	Cancer Gene Census
ENSG00000182511	FES	FES proto-oncogene, tyrosine kinase	15q26.1	protein_coding	3	374	0.80	163	16477	0.99	517	17	3.29	25	4.84	3	Cancer Gene Census
ENSG00000182578	CSF1R	colony stimulating factor 1 receptor	5q32	protein_coding	3	374	0.80	247	16477	1.50	517	289	55.90	3	0.58	3	Cancer Gene Census
ENSG00000183161	FANCF	FA complementation group F	11p14.3	protein_coding	3	374	0.80	85	16477	0.52	517	25	4.84	10	1.93	3	Cancer Gene Census
ENSG00000187323	DCC	DCC netrin 1 receptor	18q21.2	protein_coding	3	374	0.80	750	16477	4.55	517	18	3.48	78	15.09	3	Cancer Gene Census
ENSG00000196367	TRRAP	transformation/transcription domain associated protein	7q22.1	protein_coding	3	374	0.80	751	16477	4.56	517	141	27.27	3	0.58	3	Cancer Gene Census
ENSG00000196588	MRTFA	myocardin related transcription factor A	22q13.1, 22q13.2	protein_coding	3	374	0.80	203	16477	1.23	517	17	3.29	29	5.61	3	Cancer Gene Census
ENSG00000197122	SRC	SRC proto-oncogene, non-receptor tyrosine kinase	20q11.23	protein_coding	3	374	0.80	111	16477	0.67	517	76	14.70	0	0.00	3	Cancer Gene Census
ENSG00000197157	SND1	staphylococcal nuclease and tudor domain containing 1	7q32.1	protein_coding	3	374	0.80	283	16477	1.72	517	139	26.89	7	1.35	3	Cancer Gene Census
ENSG00000198400	NTRK1	neurotrophic receptor tyrosine kinase 1	1q23.1	protein_coding	3	374	0.80	259	16477	1.57	517	56	10.83	24	4.64	3	Cancer Gene Census
ENSG00000198561	CTNND1	catenin delta 1	11q12.1	protein_coding	3	374	0.80	273	16477	1.66	517	23	4.45	13	2.51	3	Cancer Gene Census
ENSG00000215301	DDX3X	DEAD-box helicase 3 X-linked	Xp11.4	protein_coding	3	374	0.80	305	16477	1.85	517	0	0.00	0	0.00	3	Cancer Gene Census
ENSG00000006468	ETV1	ETS variant transcription factor 1	7p21.2	protein_coding	2	374	0.53	229	16477	1.39	517	133	25.73	4	0.77	2	Cancer Gene Census
ENSG00000015285	WAS	WASP actin nucleation promoting factor	Xp11.23	protein_coding	2	374	0.53	150	16477	0.91	517	0	0.00	0	0.00	2	Cancer Gene Census
ENSG00000033030	ZCCHC8	zinc finger CCHC-type containing 8	12q24.31	protein_coding	2	374	0.53	142	16477	0.86	517	81	15.67	8	1.55	2	Cancer Gene Census
ENSG00000039068	CDH1	cadherin 1	16q22.1	protein_coding	2	374	0.53	405	16477	2.46	517	69	13.35	18	3.48	2	Cancer Gene Census
ENSG00000049540	ELN	elastin	7q11.23	protein_coding	2	374	0.53	238	16477	1.44	517	140	27.08	4	0.77	2	Cancer Gene Census
ENSG00000051382	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta	3q22.3	protein_coding	2	374	0.53	241	16477	1.46	517	46	8.90	70	13.54	2	Cancer Gene Census
ENSG00000054118	THRAP3	thyroid hormone receptor associated protein 3	1p34.3	protein_coding	2	374	0.53	230	16477	1.40	517	7	1.35	73	14.12	2	Cancer Gene Census
ENSG00000057657	PRDM1	PR/SET domain 1	6q21	protein_coding	2	374	0.53	272	16477	1.65	517	6	1.16	129	24.95	2	Cancer Gene Census
ENSG00000065361	ERBB3	erb-b2 receptor tyrosine kinase 3	12q13.2	protein_coding	2	374	0.53	380	16477	2.31	517	89	17.21	3	0.58	2	Cancer Gene Census
ENSG00000066455	GOLGA5	golgin A5	14q32.12	protein_coding	2	374	0.53	145	16477	0.88	517	7	1.35	193	37.33	2	Cancer Gene Census
ENSG00000066468	FGFR2	fibroblast growth factor receptor 2	10q26.13	protein_coding	2	374	0.53	375	16477	2.28	517	10	1.93	81	15.67	2	Cancer Gene Census
ENSG00000068078	FGFR3	fibroblast growth factor receptor 3	4p16.3	protein_coding	2	374	0.53	271	16477	1.64	517	9	1.74	64	12.38	2	Cancer Gene Census
ENSG00000068323	TFE3	transcription factor binding to IGHM enhancer 3	Xp11.23	protein_coding	2	374	0.53	203	16477	1.23	517	0	0.00	0	0.00	1	Cancer Gene Census
ENSG00000072274	TFRC	transferrin receptor	3q29	protein_coding	2	374	0.53	143	16477	0.87	517	54	10.44	60	11.61	2	Cancer Gene Census
ENSG00000072364	AFF4	AF4/FMR2 family member 4	5q31.1	protein_coding	2	374	0.53	241	16477	1.46	517	280	54.16	7	1.35	2	Cancer Gene Census
ENSG00000073584	SMARCE1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1	17q21.2	protein_coding	2	374	0.53	91	16477	0.55	517	22	4.26	30	5.80	2	Cancer Gene Census
ENSG00000078674	PCM1	pericentriolar material 1	8p22	protein_coding	2	374	0.53	230	16477	1.40	517	13	2.51	131	25.34	3	Cancer Gene Census
ENSG00000079432	CIC	capicua transcriptional repressor	19q13.2	protein_coding	2	374	0.53	463	16477	2.81	517	35	6.77	9	1.74	2	Cancer Gene Census
ENSG00000084676	NCOA1	nuclear receptor coactivator 1	2p23.3	protein_coding	2	374	0.53	287	16477	1.74	517	55	10.64	14	2.71	2	Cancer Gene Census
ENSG00000091831	ESR1	estrogen receptor 1	6q25.1, 6q25.2	protein_coding	2	374	0.53	227	16477	1.38	517	6	1.16	135	26.11	2	Cancer Gene Census
ENSG00000099956	SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	22q11.23	protein_coding	2	374	0.53	149	16477	0.90	517	16	3.09	27	5.22	2	Cancer Gene Census
ENSG00000100345	MYH9	myosin heavy chain 9	22q12.3	protein_coding	2	374	0.53	483	16477	2.93	517	15	2.90	29	5.61	2	Cancer Gene Census
ENSG00000101096	NFATC2	nuclear factor of activated T cells 2	20q13.2	protein_coding	2	374	0.53	326	16477	1.98	517	79	15.28	0	0.00	2	Cancer Gene Census
ENSG00000103126	AXIN1	axin 1	16p13.3	protein_coding	2	374	0.53	243	16477	1.47	517	58	11.22	88	17.02	3	Cancer Gene Census
ENSG00000103522	IL21R	interleukin 21 receptor	16p12.1	protein_coding	2	374	0.53	240	16477	1.46	517	78	15.09	5	0.97	2	Cancer Gene Census
ENSG00000104320	NBN	nibrin	8q21.3	protein_coding	2	374	0.53	191	16477	1.16	517	46	8.90	51	9.86	2	Cancer Gene Census
ENSG00000105639	JAK3	Janus kinase 3	19p13.11	protein_coding	2	374	0.53	280	16477	1.70	517	31	6.00	26	5.03	2	Cancer Gene Census
ENSG00000108924	HLF	HLF transcription factor, PAR bZIP family member	17q22	protein_coding	2	374	0.53	107	16477	0.65	517	30	5.80	28	5.42	2	Cancer Gene Census
ENSG00000109685	NSD2	nuclear receptor binding SET domain protein 2	4p16.3	protein_coding	2	374	0.53	388	16477	2.35	517	9	1.74	64	12.38	2	Cancer Gene Census
ENSG00000109906	ZBTB16	zinc finger and BTB domain containing 16	11q23.2	protein_coding	2	374	0.53	225	16477	1.37	517	20	3.87	23	4.45	2	Cancer Gene Census
ENSG00000110367	DDX6	DEAD-box helicase 6	11q23.3	protein_coding	2	374	0.53	82	16477	0.50	517	18	3.48	23	4.45	2	Cancer Gene Census
ENSG00000110395	CBL	Cbl proto-oncogene	11q23.3	protein_coding	2	374	0.53	206	16477	1.25	517	19	3.68	22	4.26	2	Cancer Gene Census
ENSG00000110619	CARS1	cysteinyl-tRNA synthetase 1	11p15.4	protein_coding	2	374	0.53	186	16477	1.13	517	26	5.03	21	4.06	2	Cancer Gene Census
ENSG00000110841	PPFIBP1	PPFIA binding protein 1	12p11.23, 12p11.22	protein_coding	2	374	0.53	194	16477	1.18	517	94	18.18	4	0.77	2	Cancer Gene Census
ENSG00000110987	BCL7A	BAF chromatin remodeling complex subunit BCL7A	12q24.31	protein_coding	2	374	0.53	276	16477	1.68	517	80	15.47	8	1.55	2	Cancer Gene Census
ENSG00000111087	GLI1	GLI family zinc finger 1	12q13.3	protein_coding	2	374	0.53	328	16477	1.99	517	89	17.21	3	0.58	2	Cancer Gene Census
ENSG00000112039	FANCE	FA complementation group E	6p21.31	protein_coding	2	374	0.53	102	16477	0.62	517	9	1.74	80	15.47	2	Cancer Gene Census
ENSG00000112175	BMP5	bone morphogenetic protein 5	6p12.1	protein_coding	2	374	0.53	262	16477	1.59	517	8	1.55	80	15.47	2	Cancer Gene Census
ENSG00000113263	ITK	IL2 inducible T cell kinase	5q33.3	protein_coding	2	374	0.53	238	16477	1.44	517	287	55.51	2	0.39	2	Cancer Gene Census
ENSG00000113360	DROSHA	drosha ribonuclease III	5p13.3	protein_coding	2	374	0.53	281	16477	1.71	517	129	24.95	7	1.35	2	Cancer Gene Census
ENSG00000113721	PDGFRB	platelet derived growth factor receptor beta	5q32	protein_coding	2	374	0.53	264	16477	1.60	517	289	55.90	3	0.58	3	Cancer Gene Census
ENSG00000114423	CBLB	Cbl proto-oncogene B	3q13.11	protein_coding	2	374	0.53	270	16477	1.64	517	33	6.38	130	25.15	2	Cancer Gene Census
ENSG00000115170	ACVR1	activin A receptor type 1	2q24.1	protein_coding	2	374	0.53	125	16477	0.76	517	58	11.22	15	2.90	2	Cancer Gene Census
ENSG00000116062	MSH6	mutS homolog 6	2p16.3	protein_coding	2	374	0.53	318	16477	1.93	517	55	10.64	17	3.29	2	Cancer Gene Census
ENSG00000116251	RPL22	ribosomal protein L22	1p36.31	protein_coding	2	374	0.53	263	16477	1.60	517	4	0.77	100	19.34	2	Cancer Gene Census
ENSG00000118046	STK11	serine/threonine kinase 11	19p13.3	protein_coding	2	374	0.53	236	16477	1.43	517	19	3.68	82	15.86	2	Cancer Gene Census
ENSG00000118971	CCND2	cyclin D2	12p13.32	protein_coding	2	374	0.53	101	16477	0.61	517	89	17.21	6	1.16	2	Cancer Gene Census
ENSG00000121989	ACVR2A	activin A receptor type 2A	2q22.3, 2q23.1	protein_coding	2	374	0.53	376	16477	2.28	517	61	11.80	14	2.71	2	Cancer Gene Census
ENSG00000126453	BCL2L12	BCL2 like 12	19q13.33	protein_coding	2	374	0.53	99	16477	0.60	517	33	6.38	8	1.55	2	Cancer Gene Census
ENSG00000126777	KTN1	kinectin 1	14q22.3	protein_coding	2	374	0.53	213	16477	1.29	517	5	0.97	190	36.75	2	Cancer Gene Census
ENSG00000127083	OMD	osteomodulin	9q22.31	protein_coding	2	374	0.53	89	16477	0.54	517	8	1.55	108	20.89	2	Cancer Gene Census
ENSG00000127152	BCL11B	BAF chromatin remodeling complex subunit BCL11B	14q32.2	protein_coding	2	374	0.53	351	16477	2.13	517	5	0.97	196	37.91	2	Cancer Gene Census
ENSG00000128191	DGCR8	DGCR8 microprocessor complex subunit	22q11.21	protein_coding	2	374	0.53	181	16477	1.10	517	23	4.45	23	4.45	2	Cancer Gene Census
ENSG00000129993	CBFA2T3	CBFA2/RUNX1 partner transcriptional co-repressor 3	16q24.3	protein_coding	2	374	0.53	168	16477	1.02	517	52	10.06	46	8.90	2	Cancer Gene Census
ENSG00000131023	LATS1	large tumor suppressor kinase 1	6q25.1	protein_coding	2	374	0.53	285	16477	1.73	517	6	1.16	135	26.11	2	Cancer Gene Census
ENSG00000131653	TRAF7	TNF receptor associated factor 7	16p13.3	protein_coding	2	374	0.53	151	16477	0.92	517	58	11.22	59	11.41	2	Cancer Gene Census
ENSG00000132002	DNAJB1	DnaJ heat shock protein family (Hsp40) member B1	19p13.12	protein_coding	2	374	0.53	68	16477	0.41	517	26	5.03	30	5.80	2	Cancer Gene Census
ENSG00000132170	PPARG	peroxisome proliferator activated receptor gamma	3p25.2	protein_coding	2	374	0.53	161	16477	0.98	517	2	0.39	442	85.49	2	Cancer Gene Census
ENSG00000132781	MUTYH	mutY DNA glycosylase	1p34.1	protein_coding	2	374	0.53	128	16477	0.78	517	5	0.97	66	12.77	2	Cancer Gene Census
ENSG00000133124	IRS4	insulin receptor substrate 4	Xq22.3	protein_coding	2	374	0.53	457	16477	2.77	517	0	0.00	0	0.00	2	Cancer Gene Census
ENSG00000133639	BTG1	BTG anti-proliferation factor 1	12q21.33	protein_coding	2	374	0.53	82	16477	0.50	517	84	16.25	6	1.16	2	Cancer Gene Census
ENSG00000133703	KRAS	KRAS proto-oncogene, GTPase	12p12.1	protein_coding	2	374	0.53	1762	16477	10.69	517	90	17.41	4	0.77	2	Cancer Gene Census
ENSG00000135111	TBX3	T-box transcription factor 3	12q24.21	protein_coding	2	374	0.53	281	16477	1.71	517	88	17.02	5	0.97	2	Cancer Gene Census
ENSG00000135333	EPHA7	EPH receptor A7	6q16.1	protein_coding	2	374	0.53	422	16477	2.56	517	6	1.16	111	21.47	2	Cancer Gene Census
ENSG00000136504	KAT7	lysine acetyltransferase 7	17q21.33	protein_coding	2	374	0.53	149	16477	0.90	517	38	7.35	26	5.03	2	Cancer Gene Census
ENSG00000138376	BARD1	BRCA1 associated RING domain 1	2q35	protein_coding	2	374	0.53	194	16477	1.18	517	53	10.25	43	8.32	2	Cancer Gene Census
ENSG00000138413	IDH1	isocitrate dehydrogenase (NADP(+)) 1	2q34	protein_coding	2	374	0.53	599	16477	3.64	517	58	11.22	32	6.19	2	Cancer Gene Census
ENSG00000138698	RAP1GDS1	Rap1 GTPase-GDP dissociation stimulator 1	4q23	protein_coding	2	374	0.53	134	16477	0.81	517	7	1.35	53	10.25	3	Cancer Gene Census
ENSG00000139687	RB1	RB transcriptional corepressor 1	13q14.2	protein_coding	2	374	0.53	569	16477	3.45	517	15	2.90	60	11.61	2	Cancer Gene Census
ENSG00000140521	POLG	DNA polymerase gamma, catalytic subunit	15q26.1	protein_coding	2	374	0.53	226	16477	1.37	517	18	3.48	25	4.84	2	Cancer Gene Census
ENSG00000141380	SS18	SS18 subunit of BAF chromatin remodeling complex	18q11.2	protein_coding	2	374	0.53	83	16477	0.50	517	20	3.87	71	13.73	2	Cancer Gene Census
ENSG00000143294	PRCC	proline rich mitotic checkpoint control factor	1q23.1	protein_coding	2	374	0.53	115	16477	0.70	517	55	10.64	24	4.64	2	Cancer Gene Census
ENSG00000143924	EML4	EMAP like 4	2p21	protein_coding	2	374	0.53	195	16477	1.18	517	54	10.44	15	2.90	2	Cancer Gene Census
ENSG00000145012	LPP	LIM domain containing preferred translocation partner in lipoma	3q27.3, 3q28	protein_coding	2	374	0.53	210	16477	1.27	517	57	11.03	54	10.44	2	Cancer Gene Census
ENSG00000145216	FIP1L1	factor interacting with PAPOLA and CPSF1	4q12	protein_coding	2	374	0.53	152	16477	0.92	517	11	2.13	45	8.70	2	Cancer Gene Census
ENSG00000145675	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1	5q13.1	protein_coding	2	374	0.53	574	16477	3.48	517	116	22.44	13	2.51	2	Cancer Gene Census
ENSG00000148516	ZEB1	zinc finger E-box binding homeobox 1	10p11.22	protein_coding	2	374	0.53	390	16477	2.37	517	13	2.51	42	8.12	2	Cancer Gene Census
ENSG00000151348	EXT2	exostosin glycosyltransferase 2	11p11.2	protein_coding	2	374	0.53	158	16477	0.96	517	27	5.22	10	1.93	2	Cancer Gene Census
ENSG00000151702	FLI1	Fli-1 proto-oncogene, ETS transcription factor	11q24.3	protein_coding	2	374	0.53	200	16477	1.21	517	16	3.09	23	4.45	2	Cancer Gene Census
ENSG00000152894	PTPRK	protein tyrosine phosphatase receptor type K	6q22.33	protein_coding	2	374	0.53	420	16477	2.55	517	7	1.35	135	26.11	3	Cancer Gene Census
ENSG00000153707	PTPRD	protein tyrosine phosphatase receptor type D	9p24.1, 9p23	protein_coding	2	374	0.53	766	16477	4.65	517	13	2.51	111	21.47	2	Cancer Gene Census
ENSG00000154803	FLCN	folliculin	17p11.2	protein_coding	2	374	0.53	166	16477	1.01	517	14	2.71	52	10.06	2	Cancer Gene Census
ENSG00000156531	PHF6	PHD finger protein 6	Xq26.2	protein_coding	2	374	0.53	152	16477	0.92	517	0	0.00	0	0.00	2	Cancer Gene Census
ENSG00000156976	EIF4A2	eukaryotic translation initiation factor 4A2	3q27.3	protein_coding	2	374	0.53	205	16477	1.24	517	57	11.03	55	10.64	2	Cancer Gene Census
ENSG00000157168	NRG1	neuregulin 1	8p12	protein_coding	2	374	0.53	448	16477	2.72	517	14	2.71	124	23.98	2	Cancer Gene Census
ENSG00000158715	SLC45A3	solute carrier family 45 member 3	1q32.1	protein_coding	2	374	0.53	136	16477	0.83	517	52	10.06	30	5.80	2	Cancer Gene Census
ENSG00000160789	LMNA	lamin A/C	1q22	protein_coding	2	374	0.53	156	16477	0.95	517	55	10.64	26	5.03	2	Cancer Gene Census
ENSG00000162733	DDR2	discoidin domain receptor tyrosine kinase 2	1q23.3	protein_coding	2	374	0.53	267	16477	1.62	517	55	10.64	24	4.64	2	Cancer Gene Census
ENSG00000162775	RBM15	RNA binding motif protein 15	1p13.3	protein_coding	2	374	0.53	220	16477	1.34	517	7	1.35	64	12.38	2	Cancer Gene Census
ENSG00000163026	WDCP	WD repeat and coiled coil containing	2p23.3	protein_coding	2	374	0.53	129	16477	0.78	517	55	10.64	14	2.71	2	Cancer Gene Census
ENSG00000164330	EBF1	EBF transcription factor 1	5q33.3	protein_coding	2	374	0.53	268	16477	1.63	517	289	55.90	2	0.39	2	Cancer Gene Census
ENSG00000168610	STAT3	signal transducer and activator of transcription 3	17q21.2	protein_coding	2	374	0.53	214	16477	1.30	517	22	4.26	30	5.80	2	Cancer Gene Census
ENSG00000169184	MN1	MN1 proto-oncogene, transcriptional regulator	22q12.1	protein_coding	2	374	0.53	292	16477	1.77	517	16	3.09	28	5.42	2	Cancer Gene Census
ENSG00000169696	ASPSCR1	ASPSCR1 tether for SLC2A4, UBX domain containing	17q25.3	protein_coding	2	374	0.53	139	16477	0.84	517	31	6.00	46	8.90	2	Cancer Gene Census
ENSG00000170759	KIF5B	kinesin family member 5B	10p11.22	protein_coding	2	374	0.53	181	16477	1.10	517	13	2.51	42	8.12	2	Cancer Gene Census
ENSG00000171302	CANT1	calcium activated nucleotidase 1	17q25.3	protein_coding	2	374	0.53	102	16477	0.62	517	32	6.19	45	8.70	2	Cancer Gene Census
